a,b,n,rho,lo,hi
calvin/__overall__,simpler_env/widowx_vm,18,0.44,-0.03,0.8
robocasa/panda,simpler_env/widowx_vm,17,0.8,0.42,0.93
robocasa/panda,simpler_env/google_robot_vm,17,0.83,0.51,0.95
calvin/__overall__,simpler_env/google_robot_vm,17,0.38,-0.19,0.8
libero_plus/layout,robotwin_v2/hard,17,0.2,-0.32,0.73
libero_plus/light,robotwin_v2/hard,17,0.21,-0.42,0.69
libero_plus/camera,simpler_env/google_robot_vm,17,0.06,-0.47,0.55
libero_plus/language,robotwin_v2/hard,17,0.09,-0.49,0.56
libero_plus/background,robotwin_v2/hard,17,-0.1,-0.65,0.48
libero_plus/camera,robotwin_v2/hard,17,0.25,-0.3,0.73
libero_plus/background,simpler_env/google_robot_vm,17,0.59,0.08,0.9
libero_plus/__overall__,simpler_env/google_robot_vm,17,0.49,-0.03,0.82
libero_plus/__overall__,robotwin_v2/hard,17,0.17,-0.39,0.66
libero_plus/language,simpler_env/google_robot_vm,17,0.62,0.14,0.9
libero_plus/light,simpler_env/google_robot_vm,17,0.61,0.13,0.85
libero_plus/noise,simpler_env/google_robot_vm,17,0.13,-0.41,0.61
libero_plus/robot,simpler_env/google_robot_vm,17,0.67,0.22,0.94
libero_plus/robot,robotwin_v2/hard,17,0.36,-0.21,0.73
libero_plus/noise,robotwin_v2/hard,17,0.05,-0.49,0.57
libero_plus/layout,simpler_env/google_robot_vm,17,0.39,-0.24,0.81
libero_plus/__overall__,simpler_env/google_robot_va,15,0.51,-0.01,0.87
libero_plus/light,simpler_env/google_robot_va,15,0.42,-0.2,0.85
libero_plus/robot,simpler_env/google_robot_va,15,0.69,0.21,0.93
libero_plus/background,simpler_env/google_robot_va,15,0.55,0.01,0.82
libero_plus/noise,simpler_env/google_robot_va,15,0.26,-0.29,0.69
libero_plus/layout,simpler_env/google_robot_va,15,0.31,-0.28,0.78
libero_plus/language,simpler_env/google_robot_va,15,0.47,-0.13,0.86
libero_plus/camera,simpler_env/google_robot_va,15,0.23,-0.4,0.71
robocasa/gr1,robotwin_v2/hard,14,0.78,0.47,0.95
robocasa/gr1,robotwin_v2/easy,14,0.76,0.45,0.93
calvin/__overall__,simpler_env/google_robot_va,14,0.47,-0.2,0.85
robocasa/gr1,simpler_env/widowx_vm,13,0.58,-0.1,0.94
calvin/__overall__,robotwin_v2/easy,12,0.21,-0.51,0.75
libero/libero_object,libero_pro/object_task,12,0.33,-0.46,0.89
libero/libero_object,libero_pro/object_pos,11,0.05,-0.63,0.75
calvin/__overall__,libero_plus/noise,11,0.32,-0.52,0.86
calvin/__overall__,libero_plus/background,11,0.48,-0.27,0.85
calvin/__overall__,libero_plus/light,11,0.52,-0.33,0.89
calvin/__overall__,libero_plus/layout,10,0.5,-0.29,0.96
calvin/__overall__,libero_plus/language,10,0.59,-0.33,0.94
calvin/__overall__,libero_plus/camera,10,0.6,-0.2,0.95
calvin/__overall__,libero_plus/robot,10,0.61,-0.13,1.0
calvin/__overall__,libero_plus/__overall__,10,0.56,-0.24,0.97
libero/libero_spatial,libero_pro/spatial_task,10,-0.12,-0.69,0.57
libero/libero_spatial,libero_pro/object_task,10,0.3,-0.38,0.82
libero/libero_spatial,libero_pro/object_pos,10,-0.02,-0.68,0.62
libero/libero_spatial,libero_pro/spatial_pos,10,0.56,-0.09,0.94
libero/libero_object,libero_pro/spatial_pos,9,0.32,-0.62,0.85
libero/libero_object,libero_pro/spatial_task,9,0.13,-0.6,0.85
robocasa/gr1,simpler_env/google_robot_vm,9,0.54,-0.1,0.95
calvin/__overall__,robocasa/panda,9,0.82,0.34,0.98
